video,query_id,concept1,concept2,case_id,style,variant_index,query,expected_goal,expected_constraints,expected_output_format,corpus_status,seed,method,parsed_goal,parsed_focus,parsed_concepts,parsed_constraints,parsed_output_format,goal_correct,routeable,intent_correct,constraint_correct,constraint_count,format_correct,route,selected_indices,fscore,exact_fscore,query_relevance_or,query_relevance_and
P01,Book_Street,Book,Street,P01:Book_Street:terse_fragment,terse_fragment,,找纸质读物和城市道路,semantic_extract,{},,researcher-simulated stress-test corpus; not real-user data,20260720,Oracle-Intent,semantic_extract,"[""书"", ""街道""]","[""Book"", ""Street""]",{},description,True,True,True,,0,,intent_selector,"[471, 475, 481, 552, 556, 557, 558, 559, 563, 564, 571, 573, 575, 879, 1059, 1061, 1062, 1066, 1371, 1376, 1377, 1378, 1383, 1385, 1387, 1388, 1389, 1390, 1391, 1392, 1396, 1399, 1402, 1404, 1405, 1406, 1407, 1409, 1410, 1411, 1413, 1417, 1421, 1424, 1437, 1459, 1462, 1463, 1464, 1467, 1468, 1469, 1470, 1479, 1488]",0.39331243208794225,0.04081632653061224,0.8545454545454545,0.0
P01,Book_Street,Book,Street,P01:Book_Street:terse_fragment,terse_fragment,,找纸质读物和城市道路,semantic_extract,{},,researcher-simulated stress-test corpus; not real-user data,20260720,LLM-Ontology,semantic_extract,"[""书"", ""街道""]","[""Book"", ""Street""]",{},description,True,True,True,,0,,intent_selector,"[471, 475, 481, 552, 556, 557, 558, 559, 563, 564, 571, 573, 575, 879, 1059, 1061, 1062, 1066, 1371, 1376, 1377, 1378, 1383, 1385, 1387, 1388, 1389, 1390, 1391, 1392, 1396, 1399, 1402, 1404, 1405, 1406, 1407, 1409, 1410, 1411, 1413, 1417, 1421, 1424, 1437, 1459, 1462, 1463, 1464, 1467, 1468, 1469, 1470, 1479, 1488]",0.39331243208794225,0.04081632653061224,0.8545454545454545,0.0
P01,Book_Street,Book,Street,P01:Book_Street:terse_fragment,terse_fragment,,找纸质读物和城市道路,semantic_extract,{},,researcher-simulated stress-test corpus; not real-user data,20260720,Rule-Canonical-Lexicon,semantic_extract,"[""书"", ""街道""]",[],{},description,True,False,False,,0,,visual_fallback,"[2782, 2781, 2780, 2779, 2778, 915, 917, 914, 918, 916, 2777, 919, 1962, 1391, 1963, 1801, 1390, 979, 920, 923, 828, 1466, 977, 1699, 1607, 827, 1647, 978, 1389, 1802, 1551, 1606, 2529, 1536, 1058, 1345, 1795, 1964, 1337, 2775, 1336, 1349, 1544, 1700, 924, 1346, 2499, 775, 569, 882, 1392, 1550, 1597, 1347, 714]",0.4200734261958751,0.0272108843537415,0.34545454545454546,0.0
P01,Book_Street,Book,Street,P01:Book_Street:terse_fragment,terse_fragment,,找纸质读物和城市道路,semantic_extract,{},,researcher-simulated stress-test corpus; not real-user data,20260720,No-Intent-Visual,semantic_extract,"[""书"", ""街道""]",[],{},description,True,False,False,,0,,visual_fallback,"[2782, 2781, 2780, 2779, 2778, 915, 917, 914, 918, 916, 2777, 919, 1962, 1391, 1963, 1801, 1390, 979, 920, 923, 828, 1466, 977, 1699, 1607, 827, 1647, 978, 1389, 1802, 1551, 1606, 2529, 1536, 1058, 1345, 1795, 1964, 1337, 2775, 1336, 1349, 1544, 1700, 924, 1346, 2499, 775, 569, 882, 1392, 1550, 1597, 1347, 714]",0.4200734261958751,0.0272108843537415,0.34545454545454546,0.0
P01,Book_Street,Book,Street,P01:Book_Street:spoken_filler,spoken_filler,,嗯，帮我看看纸质读物的内容吧，另外城市道路也要，重复画面少一点。,semantic_extract,{'diversity': True},,researcher-simulated stress-test corpus; not real-user data,20260720,Oracle-Intent,semantic_extract,"[""书"", ""街道""]","[""Book"", ""Street""]","{""diversity"": true}",video,True,True,True,True,1,,intent_selector,"[471, 475, 481, 552, 556, 557, 558, 559, 563, 564, 571, 573, 575, 879, 1059, 1061, 1062, 1066, 1371, 1376, 1377, 1378, 1383, 1385, 1387, 1388, 1389, 1390, 1391, 1392, 1396, 1399, 1402, 1404, 1405, 1406, 1407, 1409, 1410, 1411, 1413, 1417, 1421, 1424, 1437, 1459, 1462, 1463, 1464, 1467, 1468, 1469, 1470, 1479, 1488]",0.39331243208794225,0.04081632653061224,0.8545454545454545,0.0
P01,Book_Street,Book,Street,P01:Book_Street:spoken_filler,spoken_filler,,嗯，帮我看看纸质读物的内容吧，另外城市道路也要，重复画面少一点。,semantic_extract,{'diversity': True},,researcher-simulated stress-test corpus; not real-user data,20260720,LLM-Ontology,semantic_extract,"[""书"", ""街道""]","[""Book"", ""Street""]","{""diversity"": true}",video,True,True,True,True,1,,intent_selector,"[471, 475, 481, 552, 556, 557, 558, 559, 563, 564, 571, 573, 575, 879, 1059, 1061, 1062, 1066, 1371, 1376, 1377, 1378, 1383, 1385, 1387, 1388, 1389, 1390, 1391, 1392, 1396, 1399, 1402, 1404, 1405, 1406, 1407, 1409, 1410, 1411, 1413, 1417, 1421, 1424, 1437, 1459, 1462, 1463, 1464, 1467, 1468, 1469, 1470, 1479, 1488]",0.39331243208794225,0.04081632653061224,0.8545454545454545,0.0
P01,Book_Street,Book,Street,P01:Book_Street:spoken_filler,spoken_filler,,嗯，帮我看看纸质读物的内容吧，另外城市道路也要，重复画面少一点。,semantic_extract,{'diversity': True},,researcher-simulated stress-test corpus; not real-user data,20260720,Rule-Canonical-Lexicon,semantic_extract,"[""书"", ""街道""]",[],"{""diversity"": true}",video,True,False,False,True,1,,visual_fallback,"[2782, 2781, 2780, 2779, 2778, 915, 917, 914, 918, 916, 2777, 919, 1962, 1391, 1963, 1801, 1390, 979, 920, 923, 828, 1466, 977, 1699, 1607, 827, 1647, 978, 1389, 1802, 1551, 1606, 2529, 1536, 1058, 1345, 1795, 1964, 1337, 2775, 1336, 1349, 1544, 1700, 924, 1346, 2499, 775, 569, 882, 1392, 1550, 1597, 1347, 714]",0.4200734261958751,0.0272108843537415,0.34545454545454546,0.0
P01,Book_Street,Book,Street,P01:Book_Street:spoken_filler,spoken_filler,,嗯，帮我看看纸质读物的内容吧，另外城市道路也要，重复画面少一点。,semantic_extract,{'diversity': True},,researcher-simulated stress-test corpus; not real-user data,20260720,No-Intent-Visual,semantic_extract,"[""书"", ""街道""]",[],"{""diversity"": true}",video,True,False,False,True,1,,visual_fallback,"[2782, 2781, 2780, 2779, 2778, 915, 917, 914, 918, 916, 2777, 919, 1962, 1391, 1963, 1801, 1390, 979, 920, 923, 828, 1466, 977, 1699, 1607, 827, 1647, 978, 1389, 1802, 1551, 1606, 2529, 1536, 1058, 1345, 1795, 1964, 1337, 2775, 1336, 1349, 1544, 1700, 924, 1346, 2499, 775, 569, 882, 1392, 1550, 1597, 1347, 714]",0.4200734261958751,0.0272108843537415,0.34545454545454546,0.0
P01,Book_Street,Book,Street,P01:Book_Street:indirect_exclusion,indirect_exclusion,,我不需要完整概览，只想确认视频里哪些片段同时能看到装订成册并供人阅读的纸张集合以及建筑之间供车辆和行人通行的路面。,semantic_extract,{},,researcher-simulated stress-test corpus; not real-user data,20260720,Oracle-Intent,semantic_extract,"[""书"", ""街道""]","[""Book"", ""Street""]",{},video,True,True,True,,0,,intent_selector,"[471, 475, 481, 552, 556, 557, 558, 559, 563, 564, 571, 573, 575, 879, 1059, 1061, 1062, 1066, 1371, 1376, 1377, 1378, 1383, 1385, 1387, 1388, 1389, 1390, 1391, 1392, 1396, 1399, 1402, 1404, 1405, 1406, 1407, 1409, 1410, 1411, 1413, 1417, 1421, 1424, 1437, 1459, 1462, 1463, 1464, 1467, 1468, 1469, 1470, 1479, 1488]",0.39331243208794225,0.04081632653061224,0.8545454545454545,0.0
P01,Book_Street,Book,Street,P01:Book_Street:indirect_exclusion,indirect_exclusion,,我不需要完整概览，只想确认视频里哪些片段同时能看到装订成册并供人阅读的纸张集合以及建筑之间供车辆和行人通行的路面。,semantic_extract,{},,researcher-simulated stress-test corpus; not real-user data,20260720,LLM-Ontology,semantic_extract,"[""书"", ""街道""]","[""Book"", ""Street""]",{},video,True,True,True,,0,,intent_selector,"[471, 475, 481, 552, 556, 557, 558, 559, 563, 564, 571, 573, 575, 879, 1059, 1061, 1062, 1066, 1371, 1376, 1377, 1378, 1383, 1385, 1387, 1388, 1389, 1390, 1391, 1392, 1396, 1399, 1402, 1404, 1405, 1406, 1407, 1409, 1410, 1411, 1413, 1417, 1421, 1424, 1437, 1459, 1462, 1463, 1464, 1467, 1468, 1469, 1470, 1479, 1488]",0.39331243208794225,0.04081632653061224,0.8545454545454545,0.0
