"video","query_id","concept1","concept2","query_zh"
"P01","Book_Street","Book","Street","视频中同时出现书和街道的相关画面"
"P01","Book_Sun","Book","Sun","视频中同时出现书和太阳的相关画面"
"P01","Book_Tree","Book","Tree","视频中同时出现书和树的相关画面"
"P01","Building_Petsanimal","Building","Petsanimal","视频中同时出现建筑和宠物或动物的相关画面"
"P01","Car_Petsanimal","Car","Petsanimal","视频中同时出现汽车和宠物或动物的相关画面"
"P01","Chair_Desk","Chair","Desk","视频中同时出现椅子和桌子的相关画面"
"P01","Chair_Men","Chair","Men","视频中同时出现椅子和男性的相关画面"
"P01","Computer_Boat","Computer","Boat","视频中同时出现电脑和船的相关画面"
"P01","Cupglass_Garden","Cupglass","Garden","视频中同时出现杯子或玻璃杯和花园的相关画面"
"P01","Desk_Face","Desk","Face","视频中同时出现桌子和人脸的相关画面"
"P01","Desk_Hands","Desk","Hands","视频中同时出现桌子和手的相关画面"
"P01","Desk_Office","Desk","Office","视频中同时出现桌子和办公室的相关画面"
"P01","Drink_Face","Drink","Face","视频中同时出现饮料或喝东西和人脸的相关画面"
"P01","Drink_Food","Drink","Food","视频中同时出现饮料或喝东西和食物的相关画面"
"P01","Drink_Musicalinstrument","Drink","Musicalinstrument","视频中同时出现饮料或喝东西和乐器的相关画面"
"P01","Face_Party","Face","Party","视频中同时出现人脸和聚会的相关画面"
"P01","Face_Phone","Face","Phone","视频中同时出现人脸和手机的相关画面"
"P01","Food_Grass","Food","Grass","视频中同时出现食物和草地的相关画面"
"P01","Food_Hands","Food","Hands","视频中同时出现食物和手的相关画面"
"P01","Food_Men","Food","Men","视频中同时出现食物和男性的相关画面"
"P01","Food_Sky","Food","Sky","视频中同时出现食物和天空的相关画面"
"P01","Grass_Hall","Grass","Hall","视频中同时出现草地和大厅的相关画面"
"P01","Grass_Kids","Grass","Kids","视频中同时出现草地和儿童的相关画面"
"P01","Grass_Phone","Grass","Phone","视频中同时出现草地和手机的相关画面"
"P01","Grass_Shoes","Grass","Shoes","视频中同时出现草地和鞋的相关画面"
"P01","Grass_Student","Grass","Student","视频中同时出现草地和学生的相关画面"
"P01","Hall_Garden","Hall","Garden","视频中同时出现大厅和花园的相关画面"
"P01","Hands_Men","Hands","Men","视频中同时出现手和男性的相关画面"
"P01","Hat_Phone","Hat","Phone","视频中同时出现帽子和手机的相关画面"
"P01","Lady_Boat","Lady","Boat","视频中同时出现女性和船的相关画面"
"P01","Market_Beach","Market","Beach","视频中同时出现市场和海滩的相关画面"
"P01","Men_Room","Men","Room","视频中同时出现男性和房间的相关画面"
"P01","Office_Chocolate","Office","Chocolate","视频中同时出现办公室和巧克力的相关画面"
"P01","Party_Tree","Party","Tree","视频中同时出现聚会和树的相关画面"
"P01","Phone_Sun","Phone","Sun","视频中同时出现手机和太阳的相关画面"
"P01","Room_Garden","Room","Garden","视频中同时出现房间和花园的相关画面"
"P01","School_Ocean","School","Ocean","视频中同时出现学校和海洋的相关画面"
"P01","Shoes_Bed","Shoes","Bed","视频中同时出现鞋和床的相关画面"
"P01","Sign_Musicalinstrument","Sign","Musicalinstrument","视频中同时出现标志牌和乐器的相关画面"
